2020-03-09 19:36:38 [main] INFO  by.bsu.Main - first
2020-03-09 20:39:49 [main] INFO  by.bsu.Main - Point[x=0, y=0]
2020-03-09 20:40:26 [main] INFO  by.bsu.Main - Point[x=0, y=0, color=black]
2020-03-09 20:41:53 [main] INFO  by.bsu.Main - Point[x=0, y=0, color=pink]
2020-03-09 20:43:19 [main] INFO  by.bsu.Main - Point[x=0, y=0, color=black]
2020-03-09 20:44:10 [main] INFO  by.bsu.Main - Point[x=1, y=4, color=black]
2020-03-09 21:02:26 [main] INFO  by.bsu.Main - Point[x=1, y=4, color=black]
2020-03-09 21:02:37 [main] INFO  by.bsu.Main - Line[pStart=null, pEnd=null]
2020-03-09 21:03:11 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=black], pEnd=Point[x=22, y=5, color=black]]
2020-03-09 21:03:53 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=black], pEnd=Point[x=22, y=5, color=black], colorblack]
2020-03-09 21:32:04 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=white], pEnd=Point[x=22, y=5, color=white], color=white]
2020-03-09 22:13:54 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=white], pEnd=Point[x=22, y=5, color=white], color=white]
2020-03-09 22:16:08 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=white], pEnd=Point[x=22, y=5, color=white], color=white]
2020-03-09 22:16:08 [main] DEBUG by.bsu.figure.Polygon - [Lby.bsu.figure.Point;@932bc4a
2020-03-09 22:16:46 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=white], pEnd=Point[x=22, y=5, color=white], color=white]
2020-03-09 22:17:18 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=white], pEnd=Point[x=22, y=5, color=white], color=white]
2020-03-09 22:18:29 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=4, color=white], pEnd=Point[x=22, y=5, color=white], color=white]
2020-03-09 22:18:29 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:20:01 [main] INFO  by.bsu.Main - Point[x=1, y=1, color=black]
2020-03-09 22:20:01 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:23:08 [main] DEBUG by.bsu.figure.Polygon - java.lang.NullPointerException
2020-03-09 22:23:08 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:23:44 [main] DEBUG by.bsu.figure.Polygon - java.lang.NullPointerException
2020-03-09 22:23:44 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:24:34 [main] DEBUG by.bsu.figure.Polygon - java.lang.NullPointerException
2020-03-09 22:24:34 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:25:13 [main] DEBUG by.bsu.figure.Polygon - java.lang.NullPointerException
2020-03-09 22:25:13 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:26:22 [main] DEBUG by.bsu.figure.Polygon - java.lang.NullPointerException
2020-03-09 22:26:26 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:27:05 [main] DEBUG by.bsu.figure.Polygon - java.lang.NullPointerException
2020-03-09 22:27:05 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:27:43 [main] INFO  by.bsu.Main - Point[x=0, y=0, color=black]
2020-03-09 22:37:35 [main] INFO  by.bsu.Main - Point[x=0, y=0, color=black]
2020-03-09 22:38:11 [main] INFO  by.bsu.Main - Polygon[square=[null, null, null, null]]
2020-03-09 22:39:38 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=0, y=0, color=black], Point[x=0, y=0, color=black], Point[x=0, y=0, color=black], Point[x=0, y=0, color=black]]]
2020-03-09 22:40:41 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=black], Point[x=1, y=2, color=black], Point[x=2, y=2, color=black], Point[x=2, y=1, color=black]]]
2020-03-09 22:42:21 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=black], Point[x=1, y=2, color=black], Point[x=2, y=2, color=black], Point[x=33, y=44, color=black]]]
2020-03-09 22:42:57 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=white], Point[x=1, y=2, color=white], Point[x=2, y=2, color=white], Point[x=33, y=44, color=black]]]
2020-03-09 22:44:16 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=white], Point[x=1, y=2, color=white], Point[x=2, y=2, color=white], Point[x=33, y=44, color=black]]]
2020-03-09 22:44:49 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=white], Point[x=1, y=2, color=white], Point[x=2, y=2, color=white], Point[x=33, y=44, color=black]]]
2020-03-09 22:45:47 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1, y=1, color=white], Point[x=1, y=2, color=white], Point[x=2, y=2, color=white], Point[x=33, y=44, color=white]]]
2020-03-09 22:51:53 [main] INFO  by.bsu.Main - Line[pStart=Point[x=33, y=44, color=white], pEnd=Point[x=1, y=1, color=white], color=black]
2020-03-09 22:52:11 [main] INFO  by.bsu.Main - Line[pStart=Point[x=1, y=2, color=white], pEnd=Point[x=2, y=2, color=white], color=black]
2020-03-10 11:51:59 [main] INFO  by.bsu.Main - Line[xEnd=0, yEnd=0, color='black']
2020-03-10 11:52:52 [main] INFO  by.bsu.Main - Line[by.bsu.figure.Line@1a4013, xEnd=0, yEnd=0, color='black']
