2020-03-26 09:36:34 [main] INFO  by.bsu.Main - 12dsds
2020-03-26 11:26:47 [main] INFO  by.bsu.city.City - created
2020-03-26 11:29:17 [main] INFO  by.bsu.city.City - created
2020-03-26 11:31:17 [main] INFO  by.bsu.city.City - created
2020-03-26 11:32:17 [main] INFO  by.bsu.city.City - created
2020-03-27 14:00:01 [main] INFO  by.bsu.city.City - created
2020-03-29 17:56:04 [main] INFO  by.bsu.city.City - created
2020-03-29 17:57:22 [main] INFO  by.bsu.city.City - created
2020-04-11 11:08:00 [main] INFO  by.bsu.city.City - created
2020-04-11 11:08:29 [main] INFO  by.bsu.city.City - Street added successfully
2020-04-11 11:12:56 [main] INFO  by.bsu.city.City - created
2020-04-11 11:13:11 [main] INFO  by.bsu.city.City - Street added successfully
2020-04-11 11:13:37 [main] INFO  by.bsu.city.City - Street added successfully
2020-04-11 11:14:00 [main] INFO  by.bsu.city.City - Street added successfully
